Station,State,District,Latitude,Longitude,rainfall_mm,timestamp,source_file
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-08-31 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2013-09-01 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,11.0,2013-09-02 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-09-03 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,17.0,2013-09-04 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-09-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,7.0,2013-09-10 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,74.0,2013-09-11 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-09-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,34.0,2013-09-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,4.0,2013-09-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,11.0,2013-09-21 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,30.0,2013-09-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-09-27 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,16.0,2013-09-29 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2013-10-01 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,39.0,2013-10-04 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2013-10-05 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,65.0,2013-10-06 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,15.0,2013-10-07 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,8.0,2013-10-08 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,3.0,2013-10-19 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2013-10-21 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,24.0,2013-10-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,10.0,2013-10-28 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,8.0,2014-01-20 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,2.0,2014-02-15 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,13.0,2014-02-16 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-02-17 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,1.0,2014-05-18 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,6.0,2014-05-22 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,5.0,2014-05-23 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
AWRMI Office Campus,Assam,Kamrup Metropolitan,26.10269444,91.79509722,87.0,2014-05-26 08:30:00,rainfall_manual_daily_assam_as_1991_2020.csv
